Estado,Ene/2000,Feb/2000,Mar/2000,Abr/2000,May/2000,Jun/2000,Jul/2000,Ago/2000,Sep/2000,Oct/2000,Nov/2000,Dic/2000,Ene/2001,Feb/2001,Mar/2001,Abr/2001,May/2001,Jun/2001,Jul/2001,Ago/2001,Sep/2001,Oct/2001,Nov/2001,Dic/2001,Ene/2002,Feb/2002,Mar/2002,Abr/2002,May/2002,Jun/2002,Jul/2002,Ago/2002,Sep/2002,Oct/2002,Nov/2002,Dic/2002,Ene/2003,Feb/2003,Mar/2003,Abr/2003,May/2003,Jun/2003,Jul/2003,Ago/2003,Sep/2003,Oct/2003,Nov/2003,Dic/2003,Ene/2004,Feb/2004,Mar/2004,Abr/2004,May/2004,Jun/2004,Jul/2004,Ago/2004,Sep/2004,Oct/2004,Nov/2004,Dic/2004,Ene/2005,Feb/2005,Mar/2005,Abr/2005,May/2005,Jun/2005,Jul/2005,Ago/2005,Sep/2005,Oct/2005,Nov/2005,Dic/2005,Ene/2006,Feb/2006,Mar/2006,Abr/2006,May/2006,Jun/2006,Jul/2006,Ago/2006,Sep/2006,Oct/2006,Nov/2006,Dic/2006,Ene/2007,Feb/2007,Mar/2007,Abr/2007,May/2007,Jun/2007,Jul/2007,Ago/2007,Sep/2007,Oct/2007,Nov/2007,Dic/2007,Ene/2008,Feb/2008,Mar/2008,Abr/2008,May/2008,Jun/2008,Jul/2008,Ago/2008,Sep/2008,Oct/2008,Nov/2008,Dic/2008,Ene/2009,Feb/2009,Mar/2009,Abr/2009,May/2009,Jun/2009,Jul/2009,Ago/2009,Sep/2009,Oct/2009,Nov/2009,Dic/2009,Ene/2010,Feb/2010,Mar/2010,Abr/2010,May/2010,Jun/2010,Jul/2010,Ago/2010,Sep/2010,Oct/2010,Nov/2010,Dic/2010,Ene/2011,Feb/2011,Mar/2011,Abr/2011,May/2011,Jun/2011,Jul/2011,Ago/2011,Sep/2011,Oct/2011,Nov/2011,Dic/2011,Ene/2012,Feb/2012,Mar/2012,Abr/2012,May/2012,Jun/2012,Jul/2012,Ago/2012,Sep/2012,Oct/2012,Nov/2012,Dic/2012,Ene/2013,Feb/2013,Mar/2013,Abr/2013,May/2013,Jun/2013,Jul/2013,Ago/2013,Sep/2013,Oct/2013,Nov/2013,Dic/2013,Ene/2014,Feb/2014,Mar/2014,Abr/2014,May/2014,Jun/2014,Jul/2014,Ago/2014,Sep/2014,Oct/2014,Nov/2014,Dic/2014,Ene/2015,Feb/2015,Mar/2015,Abr/2015,May/2015,Jun/2015,Jul/2015,Ago/2015,Sep/2015,Oct/2015,Nov/2015,Dic/2015,Ene/2016,Feb/2016,Mar/2016,Abr/2016,May/2016,Jun/2016,Jul/2016,Ago/2016,Sep/2016,Oct/2016,Nov/2016,Dic/2016,Ene/2017,Feb/2017,Mar/2017,Abr/2017,May/2017,Jun/2017,Jul/2017,Ago/2017,Sep/2017,Oct/2017,Nov/2017,Dic/2017,Ene/2018,Feb/2018,Mar/2018,Abr/2018,May/2018,Jun/2018,Jul/2018,Ago/2018,Sep/2018,Oct/2018,Nov/2018,Dic/2018,Ene/2019,Feb/2019,Mar/2019,Abr/2019,May/2019,Jun/2019,Jul/2019,Ago/2019,Sep/2019,Oct/2019,Nov/2019,Dic/2019,Ene/2020,Feb/2020,Mar/2020,Abr/2020,May/2020,Jun/2020,Jul/2020,Ago/2020,Sep/2020,Oct/2020,Nov/2020,Dic/2020,Ene/2021,Feb/2021,Mar/2021
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12393888,12117075,12248116,12881669,13881910,14167786,14447541,14448652,14351063,13994359,12906507,12363959,12475059,12217127,12897913,12860675,13856702,14170442,14281638,14328738,14122402,13726523,13094646,12352527,12646760,12314965,13137600,12965279,13660419,14194206,14548834,14828088,14688086,14360555,13393343,12771128,12798679,12538889,12947065,13608741,14281821,15015709,15637767,15510075,15167552,15122562,14014753,13113281,13301249,13137125,13806773,13730365,14928333,15509791,16062937,16059323,15555512,15222307,14410368,13646484,13763373,13454178,14320429,14091197,15327132,15783090,16079768,16450146,16313747,15901219,14947356,14037303,14142310,14345176,14572517,15008707,16125863,16550561,16714906,16945880,16220060,15657495,14550259,13078824.3,13283404.86,13176885.35,14365636.38,14353843.19,15467211.38,15946102.09,16600781.31,17160087.51,16591526.84,16304474.13,14694912.94,13520571.09,13612295.18,13205574.38,14364603.39,14591628.98,15687722.87,16592014.4,17771349.06,17092181.18,17430953.37,16608250.57,15420717.56,14261586.98,14684426.08,14519837.06,15881548.45,16023986.28,17156142.06,18036878.33,18319442.21,18648384.08,18430635.54,17803458.05,16226831.92,15214320.9,15336318.58,15146452.95,16329054.77,16555885.75,18032000.67,18583673.65,18757367.7,18990300.81,18661406.83,18118334.57,16738560.25,15230927.17,15597811.8,15210266.39,15796672.38,16582729.56,17780313.04,19056986.65,18857612.77,19195382.39,18508018.59,17884384,16534951.77,15124864.47,15527359.43,15292719.63,16460154.81,16768325.75,17896194.6,18384779.58,19008679.33,19462585.39,18794919.81,18315186.39,16612577.78,208014.9,15733183.27,15446115.68,16670678.01,16906989.12,17879130.11,18533579.25,19096084.99,20027458.89,19737918.79,19048162.39,17259194.91,212200.8173,15719096.64,15903360.37,16540913.41,17723148.33,18874169.2,19647931.9,20194861.34,20368074.63,19746646.61,19232379.43,17757131.35,218072.3,15879621.81,15618754.93,16721993.14,17029084.28,18566215.79,19546783.5,19705310,19665722.47,20799209.93,18337434.54,18244097.46,215309.9,0,0,0,0,0,0,0,0,0,0,0,218083200,0,0,0,0,0,0,0,0,0,0,0,218929600,0,0,0,0,0,0,0,0,0,0,0,97107700,0,0,0
Aguascalientes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151231,140175,139327,158455,174784,170128,162863,144393,149626,145378,146132,134511,149802,144112,147981,153066,172230,166519,162057,142357,144865,121201,147538,140664,159756,142192,152356,143261,167451,155954,148467,151255,153032,148172,156153,148000,161441,152864,151131,167043,184123,181766,189924,171123,169516,172433,180107,161393,172950,164946,180002,178959,189873,197598,204705,185334,164100,171179,173219,168923,206758,173050,190849,188654,207159,188564,163719,170860,184596,179918,184913,171241,183022,173632,185069,192859,215073,202610,186381,183382,164444,170347,176120,154175,167774.42,159626.92,175067.59,173929.21,189316.32,184802.49,186218.81,199628.67,185340.12,170588.12,179959.59,165658.54,167515.63,153733.88,173407.19,189001.22,195154.6,206221.72,195108.24,182275.93,188772.74,186438.66,194157.88,174623.79,189880.2,181179.39,200464.91,194363.74,216194.68,221346.83,210807.92,209066.51,203925.66,197715.66,204932.41,190282.03,199442.98,187081.44,191412.26,197500.58,224699.75,225761.9,209136.02,206285.95,212131.17,214379,208308.52,192319.6,195691.58,186590.9,199176.78,211841.65,221706.33,212451.94,206780.07,204279.73,207584.99,193769.61,199640.27,189010.11,200039.93,201704.83,219235.95,219791.84,231106.58,219713.72,220734.18,233110.68,227550.74,230835.49,226191.37,2628.6,222551.13,209715.18,217737.56,217369.22,248225.28,240941.29,226341.35,232597.43,235971.74,230516.44,218664.31,2709.448397,216418.66,206021.83,215441.61,233767.39,253459.05,249728.7,244353.11,230633.72,223208.75,233276.46,233795.18,2752,225869.12,218605.07,240531.83,236578.55,258032.27,258574.92,260455.03,234085.3,261068.38,208852.44,262349.58,2863.4,0,0,0,0,0,0,0,0,0,0,0,2855500,0,0,0,0,0,0,0,0,0,0,0,2911300,0,0,0,0,0,0,0,0,0,0,0,1302600,0,0,0
Baja California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573853,537868,540153,543137,610939,666319,790528,809137,793624,679316,607908,524974,590960,527530,562353,562022,603170,693333,805939,855902,850492,766754,671773,559363,600340,571530,610574,620646,676993,735407,823168,907603,861485,747307,650290,585188,617641,559917,610427,627736,651544,758560,869025,938722,864065,747759,646226,604726,631985,600801,659786,615436,693912,842839,972483,1003329,953652,801938,697445,631597,660869,630895,661417,645698,705818,806334,936819,1012356,1007197,808022,711480,636226,663704,655804,659538,679647,710430,808204,956445,1076591,997277,883700,722109,595488,627888.81,600656.55,629252.04,636984.51,719268.18,793591.54,940189.82,1026115.31,979403.38,839813.84,684426.11,612672.46,634219.63,614369.97,652466.91,570864.36,671344.24,752720.23,933146.57,991191.4,938993.79,854647.35,717127.72,617832.41,654570.82,620837.58,675340.78,657666.86,704048.12,765047.64,974277.84,1033671.17,1035669.29,843112.95,706599.14,646053.72,678962.25,642585.3,686285.54,677252.44,765091.54,859742.37,978167.9,1072648.16,1027561.76,922813.02,742843.84,627551.83,655483.1,622084.99,655560.8,690498.49,744974.08,860380.54,995133.45,1032288.03,993708.24,854084.36,697409.14,624553.12,672639.52,638217.9,668815.66,693684.21,755088.3,882990.64,1031268.53,1090240.88,1056862.96,942565.27,748265.2,9815.6,675672.82,654324.06,690842.72,722805.26,746076.75,802511.51,1017229.85,1096290.16,1131053.04,1013306.2,813612.65,10011.82079,698770.57,681604.3,708086.99,738504.99,767299.64,929026.39,1106006.86,1194916.1,1128042.73,934058.75,842658.36,10457.7,729502.72,703681.95,766812.23,787010.32,816538.41,917801.72,1132114.97,1187262.79,1186536.65,885113.07,826085.79,10785.7,0,0,0,0,0,0,0,0,0,0,0,10823800,0,0,0,0,0,0,0,0,0,0,0,10489800,0,0,0,0,0,0,0,0,0,0,0,4469800,0,0,0
Baja California Sur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76944,73620,72883,76134,85429,91579,95786,108545,109710,109593,98811,82979,76985,78299,75011,79643,86478,93056,99294,119527,110090,112421,102397,92894,84350,74543,100159,90415,81365,94532,113898,125899,123011,117329,107259,97651,86473,81633,84653,92160,100532,107041,113436,135072,136164,143598,126643,111016,94816,94184,96359,101750,107777,122484,139184,149883,141895,149202,134359,116428,105801,99158,108944,106316,110801,126309,142275,161355,162624,165074,150786,138537,118157,113901,118400,122654,140256,145386,161820,177975,178247,179208,168346,144613,131341,124344.53,130419.29,129869.02,136334.36,148814.34,164499.95,180832.61,184779.63,177597.84,157866.49,138308.42,128913.43,121455.72,129292.2,131921.27,138997.91,147565.93,156034.5,175360.32,182902.07,186842.45,161644.14,145508.17,132968.4,124031.86,135432.16,135349.24,145875.56,155889.18,173749.49,194159.5,204889.31,212572.81,194399.86,161020.21,142786.46,136180.53,140037.57,144113.74,151935.63,164201.24,182863.56,203184.84,202903.79,206513.52,185998.6,163218.27,146112.16,136736.27,144558.6,150063.09,159930.99,168608.06,189569.83,207608.6,205015.9,208309.72,181198.68,161545.29,154330.96,145005.91,154973.8,157855.85,177239.56,194031.24,217578.73,227864.98,192333.43,169658.99,173539.06,2116.5,143605.16,134620.41,141220.2,150554.96,165794.08,171687.55,207488.25,231361.05,237621.96,233775.54,211080.73,2201.651711,157397.56,148817.82,157654.84,161099.47,175816.53,188541.41,221973.98,235949.03,231472.27,237260.8,231940,2342.5,164554.46,152715.56,162197.51,166178.83,178738.85,185222.77,219764.01,248762.27,259499.14,224008.01,253241.34,2366.8,0,0,0,0,0,0,0,0,0,0,0,2561200,0,0,0,0,0,0,0,0,0,0,0,2595900,0,0,0,0,0,0,0,0,0,0,0,1010600,0,0,0
Campeche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52889,55632,49016,56045,65181,67681,65484,69705,65140,64296,64644,61202,57440,57135,59859,62219,69405,76821,75324,74123,71056,79795,68060,64090,59136,59996,59821,71429,67679,76824,75476,83290,73422,82143,69855,67118,59942,64081,59947,74948,73894,86865,77373,84922,78755,82338,76904,69334,64663,63750,65374,71660,80125,87737,80613,83379,82872,87893,77282,72711,68429,71763,68205,74074,85357,88944,89190,92496,86745,84700,81831,74673,74764,75382,76862,83074,93889,96377,92590,95127,94860,93523,82001,73686,74051.6,72380.86,75397.06,89992.98,97568.07,101229.02,101470.4,102345.07,101338.59,103484,92898.05,89267.72,77550.97,74865.68,74180.31,84905.02,95195.85,106766.12,106460.83,103410.94,99946.52,98073.06,89875.69,83418.66,80389.75,77529.3,85263.36,97609.38,107248.87,113549.32,107218.75,107376.33,110305.65,104300.66,92081.96,88376.06,82186.66,84334.01,94225.2,101618.58,110807.53,111677.03,109461.95,109820.16,111678.7,111968.57,102571,92937.02,91727.13,90053.17,89763.15,98811.69,113863.03,116314.76,113098.46,114588.92,112781.33,112077.27,109293.65,96076.11,90397.1,88446.33,95462.36,106997.32,121485.77,115080.48,120505.47,126003.31,123073.38,117958.36,103593.63,1299.3,91770.93,86628.22,94074.95,108787.84,123020.01,122853.68,123381.29,123755.84,124802.94,121828.93,115606.38,1340.84327,99071.74,89119.28,92073.19,107043.34,126744.47,139145.26,135009.09,123464.82,129107.34,117989.18,116672.29,1388.2,98895.6,90816.9,102390.03,108189.25,118409.79,124148.71,125448.15,118315.13,129359.63,123473.79,112952.57,1340.4,0,0,0,0,0,0,0,0,0,0,0,1315600,0,0,0,0,0,0,0,0,0,0,0,1388300,0,0,0,0,0,0,0,0,0,0,0,650000,0,0,0
Chiapas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143827,141717,135314,144224,153769,150439,153255,148388,149692,149315,145780,143651,143120,144671,150167,147806,155460,161159,145358,157057,155824,153118,152905,152945,144097,153264,157898,161798,165693,159712,162651,158623,162593,161510,164462,159921,165182,161137,161586,165971,187427,171342,175932,168906,174041,167285,171119,167701,171427,165302,176956,173960,183310,170421,183539,174641,182132,175297,184506,174720,182721,176904,184542,182133,195005,189310,196114,187859,189336,180946,187835,188102,196581,185951,197845,194697,212626,195718,206511,194857,205020,196130,202602,192085,199001.92,193406.5,206052.3,203162.82,216297.58,211294.14,216083.65,210326.93,218768.81,213557.54,212340.4,206922.97,203268.57,199889.55,211161.27,211792.82,229765.05,217772.76,224770.74,212651.42,216002.34,210229.94,216958,205189.37,217108.77,250217.17,221026.33,230221.22,246597.91,234142.11,226088.41,228344.59,222692.69,225590.56,216891.36,218246.17,217328.56,220742.85,228427.89,234248.43,240453.91,239202.64,233837.82,233988.19,233630.61,233918.66,230098.59,225760.6,228166.06,226555.35,227128.12,236076.03,247856.3,244483.22,239384.6,239008.86,234577.33,235612.38,237251.21,228458.6,227090.5,225799.61,242619.31,248745.91,253627.59,240472.74,249062.72,256854.11,247998.21,242554.77,239868.45,2912.4,229346.52,222675.98,239169.04,249971.43,261206.86,260635.31,260919.12,274382.85,269790.27,266329.99,259277.76,3054.574426,262743.95,251938.44,259452.13,272043.14,292507.38,278832.08,272071.66,281725.56,283788.89,277052.46,257843.49,3256.5,247630.42,251675.37,257469.77,258581.63,267938.27,256351.09,255452.05,257848.05,268467.01,262278.34,308524.59,3086,0,0,0,0,0,0,0,0,0,0,0,3096400,0,0,0,0,0,0,0,0,0,0,0,3339700,0,0,0,0,0,0,0,0,0,0,0,1636100,0,0,0
Chihuahua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532717,543875,535651,618500,690386,748096,768432,796025,725385,738033,583377,510523,516375,545489,536974,632412,683742,773871,782429,858383,830583,748961,596295,549759,555245,574275,587089,634400,672680,774183,821882,859694,774152,744393,591743,544525,561705,565313,563689,677052,742639,827416,911528,972094,840940,823569,679211,608716,609176,621935,647297,736223,836678,913777,959615,930992,821479,739059,684571,622012,633259,622789,643539,729910,827431,861497,924293,993337,898987,860338,716163,620743,646156,655194,661668,763666,862033,922017,1002786,901031,774153,756898,673192,571907,571703.76,602170.12,624471.35,719989.95,832769.11,851642.87,917243.67,968089.84,913082.4,822795.54,654504.6,618691.51,618448.48,617707.13,632617.58,748990.48,835756.19,961262.85,1042322.44,976577.44,971097.61,894394.64,696514.5,628253.69,631237.6,650845.26,691626,809395.68,904029.61,1063991.97,1082697.59,1148362.23,1058184.28,1054085.47,757794.73,663406.22,649370.12,673530.65,737801.67,837773.71,970494.13,1064444.21,1151626.85,1128604.03,1117471.42,987953.44,763504.9,661446.8,678838.74,687086.5,729534.99,898363.48,997645.02,1153552.06,1173214.4,1086745.05,1085867.9,921260.86,765014.53,658934.08,797712.06,708738.35,796655.45,980688.64,1045158.3,1212874.25,1259458.72,1175476.82,1011696.03,897493.86,724164.59,11283.6,704129.13,734548.55,891458.42,945380.37,1060194.1,1247505,1197185.23,1267335.89,1285904.72,998272.11,763806.69,11786.48963,718086.06,805677.74,904800.06,1055180.64,1206958.1,1291839.37,1320218,1282886.99,1085356.86,1015425.84,794278.46,12197.4,750573.64,747249.09,928480.77,1109754.09,1228311.2,1320074.24,1306817.17,1112368.94,1325145.16,1068726.54,885041.33,12515.5,0,0,0,0,0,0,0,0,0,0,0,12699400,0,0,0,0,0,0,0,0,0,0,0,12949700,0,0,0,0,0,0,0,0,0,0,0,6113600,0,0,0
Coahuila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688749,648625,682932,675506,798494,803173,840344,821718,814343,789275,728557,666101,699406,663304,716165,655872,752669,782255,810202,804209,753492,735798,701458,666521,692167,646698,725593,670019,634783,696198,721874,755944,736320,715422,641082,592260,599476,574916,616679,696794,666316,773839,862587,763357,773047,752879,685321,607336,647962,603435,764667,717636,732962,755519,809585,740892,762506,725690,670638,620819,630570,647231,745082,652165,725137,745646,769917,789534,862658,773553,716646,631864,668884,755024,698758,724415,767829,782854,832951,828645,846002,780583,665852,576739,596042.91,575898.8,697344.34,680342.41,665724.89,703713.13,857675.5,1000662.59,949615.59,937403.59,727385.43,615105.59,650298.46,651756.95,658789.33,740225,762541.78,871302.21,839573.73,870085.1,899863.61,862897.96,744125.93,693331.93,722002.97,795232.34,764508.83,809796.64,892744.66,922427.99,941694.17,978492.82,1003917.8,863442.78,793633.43,754303.51,737278.82,725865.19,813242.12,801702.13,904572.93,943601.53,955007.53,972566.08,915782.3,868178.74,811089.87,741124.48,784295.55,751968.24,832073.53,778469.31,876043.44,900691.95,972865.57,995679.82,987905.38,930521.44,850110.52,795118.68,818344.58,794763.84,833977.1,870697.3,891804.64,904884.2,950335.42,1017819.76,972048.51,943681.84,799145.54,10551.6,760277.97,771803.92,966137.42,848602.3,859018.75,915783.86,947299.01,964463.7,972943.46,949978.17,792465.48,10462.8533,712508.76,725273.6,798200.61,795031.52,864774.77,951470.04,984794.14,976559.7,988099.91,892983.01,797085.93,10211.9,755075.77,745102.16,748845.79,776702.43,892422.62,955521.62,983203.76,1006823.18,1070001.44,882212.47,813481.35,10393.4,0,0,0,0,0,0,0,0,0,0,0,10601900,0,0,0,0,0,0,0,0,0,0,0,10920200,0,0,0,0,0,0,0,0,0,0,0,4512500,0,0,0
Colima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106367,99032,103815,105876,103117,110019,112122,115764,111222,108317,104406,109434,88154,95097,101250,96373,97808,99522,96585,103065,92710,97610,97010,98241,91983,86255,94277,97242,103022,103489,104270,108741,105906,106311,106741,107090,106158,96054,101587,106228,113946,118150,114354,118491,111462,118341,116139,118949,112884,111591,115054,120020,117039,123584,124889,124720,117612,121394,119931,117470,118395,115006,115094,116469,127765,124389,130890,129834,125514,127538,125346,125941,121403,119913,120736,125704,134309,128434,126517,133538,122122,130193,124984,128562,122745.62,117883.18,125543.98,117688.01,126873.03,134071.97,129724.33,131412.96,129522.99,132087.15,122728.89,125541.67,119641.03,110567.96,116782.32,120689.3,124334.95,131017.35,132297.33,126187.18,130232.08,127067.87,132917.06,124888.64,123588.07,113452.17,122619.13,124037.3,133688,139767.12,133088.57,135670.98,134069.3,133912.01,133183.51,123127.33,129980.15,123044.17,127711.55,130337.46,140061.01,140462.89,144018.78,143141.62,145111.54,147441.06,146210.47,145509.4,142202.57,137554,140527.64,135638.05,149349.63,151681.03,149287.03,151085.08,147111.63,144947.29,144846.88,141319.95,140766.49,135919.24,137902.09,144467.12,155836.28,148683.65,149743.06,158043.58,148537.02,149372.95,147603.28,1759.6,143425.59,134166.77,138349.28,139857.35,146159.96,149523.46,153044.2,162560.68,159721.64,156364.91,150532.47,1787.273609,145508,140868.08,143498.36,148199.97,152126.71,156859.32,160111.16,160554.2,155609.47,163873.5,158593.35,1842.1,155685.36,146055.63,160812.65,154947.01,164255.54,165891.78,172714.38,177519.13,167770.85,162846.17,174945.67,1963.8,0,0,0,0,0,0,0,0,0,0,0,2025400,0,0,0,0,0,0,0,0,0,0,0,2058500,0,0,0,0,0,0,0,0,0,0,0,1021500,0,0,0
Distrito Federal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130043,1058305,1097455,1090320,1081902,1085244,1108408,1038229,1126947,1106731,1122466,1140941,1149730,1083941,1104767,1099290,1150864,1087190,1044150,1064254,1114483,1104619,1137214,1111562,1124653,1093974,1100321,1052816,1128594,1082733,1088239,1077298,1153830,1129805,1138985,1124275,1137133,1077049,1097274,1101217,1136220,1103676,1121079,1097984,1114471,1154545,1129480,1096375,1107488,1058705,1058373,1092421,1172598,1123353,1107986,1122894,1126381,1131930,1129456,1144743,1152289,1109114,1109440,1102787,1130932,1085636,1127797,1116098,1177009,1129852,1151502,1158149,1158363,1138999,1157070,1121283,1157998,1176327,1183343,1223628,1155694,1163331,1164256,1144287,1163701,1192329,1296403,1189267,1329906,1270143,1135358,1154232,1155052.49,1108257,1079025,963176,991388.36,996560.48,1300406.59,939078.32,1003642.89,1091592.49,1514087.03,887848.6,1157531.46,1125541.33,1169180.07,1110414.06,1111263.48,1083149.93,1188321.11,1131838.98,1187314.01,1176266.38,1146634.59,1135446.73,1125523.86,1150887.59,1132444.53,1098019.01,1150205.63,1114698.54,1214773.31,1281856.15,1226527.94,1237805.33,1190634.11,1181665.09,1161069.61,1173741.15,1167230.35,1029031.42,1169798.55,1125278.29,1142443.59,1200592.8,1234924.11,1681742.56,1195191.47,1178922.91,1163158.52,1193416.43,1143639.31,1133906.34,1166839.44,1111591.27,1185452.01,1167975.26,1207046.65,1178869.69,1198798.03,1214445.12,1191438.95,1232871.28,1229699.52,14300.6,1159610.23,1123970.2,1189363.27,1239366.39,1204068.67,1228135.19,1220321.02,1235411.45,1212121.57,1228232.86,1237418.52,14464.26411,1182371.04,1159570.39,1178906.84,1214130.3,1274609.24,1235407.18,1200797.79,1205781.41,1196509.73,1235077.19,1163881.2,14500,1171958.93,1113032.59,1143461.34,1087773.95,1184976.43,1172710.02,1152513.05,1118121.96,1182505.99,1114322.95,1134214.67,13621.7,0,0,0,0,0,0,0,0,0,0,0,13432400,0,0,0,0,0,0,0,0,0,0,0,12910500,0,0,0,0,0,0,0,0,0,0,0,5860300,0,0,0
